,waist,hips,bra size,bust,height,size,body-shape,Dress-Style
157,32.0,38.0,36.0,40,5.02,12,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
158,27.0,37.0,32.0,33,5.01,8,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
159,29.0,38.0,36.0,36,5.07,12,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
160,28.0,40.0,32.0,37,5.02,12,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
161,28.0,36.0,36.0,36,5.04,12,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
162,29.0,36.0,34.0,34,5.06,12,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
163,29.0,40.0,32.0,38,5.5,12,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
164,29.0,37.0,34.0,34,5.03,8,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
165,40.0,50.0,38.0,44,5.06,20,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
166,33.0,42.0,38.0,38,5.04,12,,
167,29.0,38.0,34.0,36,5.06,8,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
168,29.0,38.0,34.0,36,5.04,7,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
169,30.0,40.0,34.0,37,5.09,8,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
170,28.0,36.0,32.0,35,5.08,4,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
171,27.0,37.0,32.0,36,5.08,1,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
172,28.0,37.0,34.0,34,5.04,8,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
173,25.0,35.0,32.0,32,5.5,1,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
174,25.0,35.0,32.0,34,5.09,1,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
175,25.0,34.0,30.0,32,5.04,1,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
176,28.0,36.0,32.0,35,5.08,8,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
177,31.0,39.0,36.0,35,5.02,8,,
178,35.0,41.0,36.0,40,5.0,15,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
179,30.0,42.0,34.0,37,5.06,8,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
180,26.0,33.0,34.0,33,5.09,4,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
181,32.0,43.0,38.0,38,5.06,15,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
182,34.0,41.0,36.0,36,5.09,12,,
183,38.0,47.0,40.0,46,5.06,15,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
184,31.0,41.0,36.0,36,5.03,12,Hourglass,"V or plunge V and sweetheart necklines, with a belt,body-hugging dresses"
185,25.0,34.0,30.0,32,5.04,1,Rectangle,"A-line skirts, ruffled and layered tops, Sleeveless, strapless dresses"
